,Name,Address,City,State,Zip,rating
164,FACULTY CLUB AT NORTHEASTERN UNIVERSITY,716 COLUMBUS AVE,BOSTON,MA,2120,2
165,STETSON WEST AT NORTHEASTERN UNIVERSITY,11 SPEARE PLACE,BOSTON,MA,2115,3
166,MATTHEWS CONCESSION AT NORTHEASTERN UNIVERSITY,"MATTHEWS ARENA, 238 ST. BOLTOLPH ST.",BOSTON,MA,2115,1
167,LA PRIMA CATERING / CATERING BY SEASONS,5105 BERWYN ROAD,COLLEGE PARK,MD,20740,4
168,COFFEE LABS ROASTERS,7 MAIN STREET,TARRYTOWN,NY,10591,3
169,CORAL TREE CAFE,17499 VENTURA BLVD,ENCINO,CA,91316,2
171,ATRIUM CAFE,"OHIO UNIVERSITY, E106 GROVER CENTER",ATHENS,OH,45701,3
172,BEERLINE CAFE,2076 NORTH COMMERCE STREET,MILWAUKEE,WI,53212,4
173,WILD OLIVE CUCINA ITALIANA,2867 MAYBANK HIGHWAY,JOHNS ISLAND,SC,29455,3
174,BUCKLEY DINING HALL AT UNIVERSITY OF CONNECTICUT,1276 STORRS ROAD,STORRS,CT,6269,3
176,THE BISTRO AT THE BILTMORE ESTATE,1 LODGE STREET,ASHEVILLE,NC,28801,3
177,AROOGAS DOWNTOWN,201 NORTH 2ND ST,HARRISBURG,PA,17101,1
178,AROOGAS ROUTE 124,1211 HAINES RD,YORK,PA,17402,1
179,CURATE,11 BILTMORE AVENUE,ASHEVILLE,NC,28801,3
180,ANNENBERG DINING HALL AT HARVARD UNIVERSITY,"45 QUINCY ST, MEMORIAL HALL",CAMBRIDGE,MA,2138,3
181,ADAMS HOUSE DINING HALL AT HARVARD UNIVERSITY,11 BOW ST,CAMBRIDGE,MA,2138,2
182,QUINCY DINING HALL AT HARVARD UNIVERSITY,1 DE WOLFE ST,CAMBRIDGE,MA,2138,3
183,DUNSTER MATHER DINING HALL AT HARVARD UNIVERSITY,8 FLAGG ST,CAMBRIDGE,MA,,3
184,RABBI BEN-ZION GOLD DINING HALL AT HARVARD UNIVERSITY,52 MT AUBURN ST,CAMBRIDGE,MA,2138,1
185,ELIOT AND KIRKLAND HOUSE DINING HALL AT HARVARD UNIVERSITY,80 JFK STREET,CAMBRIDGE,MA,2138,3
186,LEVERETT HOUSE DINING HALL AT HARVARD UNIVERSITY,28 DEWOLF STREET,CAMBRIDGE,MA,2138,3
187,CABOT & PFORZHEIMER HOUSE DINING HALL AT HARVARD UNIVERSITY,124 WALKER STREET,CAMBRIDGE,MA,2138,3
188,CURRIER HOUSE DINING HALL AT HARVARD UNIVERSITY,59 GARDEN STREET,CAMBRIDGE,MA,2138,3
189,DURHAM COLLEGE CENTRE FOR FOOD,1604 CHAMPLAIN AVENUE,WHITBY,ONTARIO,L1N 6A7,3
190,BASE CAMP CAFE AT THE CINCINNATI ZOO AND BOTANICAL GARDEN,3400 VINE STREET,CINCINNATI,OH,45220,4
191,BIG DELICIOUS PLANET CATERING & CANTEEN,412 NORTH WOLCOTT AVE,CHICAGO,IL,60622,4
192,ROUND ROBIN,"WILLARD INTERCONTINENTAL HOTEL, 1401 PENNSYLVANIA AVENUE NW",WASHINGTON,DC,20004,3
193,CAMILLE'S SIDEWALK CAFE,123 MAIN ST,WHITE PLAINS,NY,10601,3
194,SMITHSONIAN NATIONAL MUSEUM OF THE AMERICAN INDIAN'S MITSITAM CAFE,INDEPENDENCE AVE SW,WASHINGTON,DC,20004,3
195,CARVER'S CAFE AT XANTERRA PARKS & RESORTS AT MT. RUSHMORE,"13000 SD HIGHWAY 244, BUILDING 81",KEYSTONE,SD,57751,3
196,THE STANDARD LUXURY TAVERN,360 ELGIN ST,OTTAWA,ONTARIO,K2P1M8,2
197,LA PRIMA CATERING,735 YORK ROAD,WILLOW GROVE,PA,19090,3
199,TWIGS AT OXFORD AT UNIVERSITY OF MICHIGAN,619 OXFORD ROAD,ANN ARBOR,MI,48109-1316,3
200,MAPORI RESTAURANT AT THE COLUMBUS ZOO AND AQUARIUM,4850 POWELL ROAD,POWELL,OH,43065,4
201,LAIR MARKETPLACE AT LOYOLA MARYMOUNT UNIVERSITY,"1 LMU DRIVE, MS 8420",LOS ANGELES,CA,90045,4
202,ROSKI DINING HALL AT LOYOLA MARYMOUNT UNIVERSITY,"1 LMU DRIVE, MS 8420",LOS ANGELES,CA,90045,4
203,HEARTH,1625 HINMAN AVENUE,EVANSTON,IL,60202,2
204,STARBUCKS COLLEGE AVE AT SDSU,5131 COLLEGE AVE,SAN DIEGO,CA,92115,2
205,THE BAKE SHOP AT SDSU,"SAN DIEGO STATE UNIVERSITY, 92182-1701",SAN DIEGO,CA,92182,1
206,STARBUCKS WEST-END PLAZA AT SDSU,"SAN DIEGO STATE UNIVERSITY, 92182-1701",SAN DIEGO,CA,92182,2
207,AREA 51 AT SDSU,"SAN DIEGO STATE UNIVERSITY, 92182-1701",SAN DIEGO,CA,92182,2
