,name,green_rating
656,ACAJOU BR,1
944,AKRON CITY TAVERN,1
712,ADAMO,1
901,AJK CHINESE CUSINE,1
731,ADELAIDE STREET PUB,2
84,1886 BUFFALO CAFE,1
890,AJI MOBILE FOODS,2
586,AACHI SOUTHINDIAN KITCHEN,2
368,701 MAIN,2
429,9 BARS,2
698,ACTIVEFOREVER,1
382,786 HALAL RESTAURANT,2
431,9 RESTAURANT,1
29,100℃,1
385,7TH DISTRICT RESTAURANT & LOUNGE,1
463,A 1 SWEETS RESTAURANT,2
65,17 PUBLIC SQUARE,2
557,A+ SUSHI & BIBIM,2
103,19TH DONUT HOLE,1
909,AKA,1
114,2 PIERROTS,2
30,101 ASIAN BUFFET,1
908,AJUKER CHICKEN,2
296,500 DEGREES PIZZERIA,1
975,AL PASTOR,1
289,5 STAR BBQ & GRILL,1
123,21 GREENS,2
578,AA OZZY BAKERY,1
932,AKINA JAPANESE CUISINE,1
739,ADOBO CAFE,2
10,00 GELATO,1
931,AKIMI JAPANESE CUISINE,1
125,21 RESTAURANT & LOUNGE,1
818,AH-SAH-EE CAFE,2
804,AGORA CAFÉ,2
143,241 PIZZA,1
40,12 TABLES,2
311,55 CHICAGO,1
875,AJ'S BURGER & PERUVIAN CHICKEN,2
562,A-OK FOODS,1
411,811 KITCHEN BAR LOUNGE,1
704,ADAM & EVE CHOCOLATIER,2
74,180 SECONDI,1
273,5 & DINER DELUX SURPRISE,1
781,AFTER RAIN,2
184,3 SOEURS,2
274,5 BELOW CREAMERY,2
543,A XIANG,2
189,3'S CO COFFEE BAR,2
237,4 SISTERS RESTAURANT,1
476,A CUPCAKE A DAY...,1
620,ABE'S RESTAURANT,1
566,A-WOK RESTAURANT,2
445,98 SOUTH,1
632,ABRUZZI ITALIAN CUCINA,1
541,A WISH CAKE & CAFE,2
718,ADAPTIVE FORCE PERFORMING ARTS,2
459,A & K CHINESE RESTAURANT,2
645,ABX AMERICAN BURGER WORKS,1
526,A TASTE OF QUEBEC,2
652,ACACIA FINE FOODS,1
504,A PLUS BUFFET SUSHI BAR,1
670,ACE OF STEAKS,1
418,88 CHINA BISTRO,1
950,AL & B'S BARBEQUE,1
829,AHNALA MESQUITE ROOM,1
866,AISHITERU ASIAN BISTRO,1
275,5 DOLLAR CAFE,1
756,AFAMIA MEDITERRANEAN GRILLE,2
158,2ND NATURE BAKERY AND CAFE,2
187,3 TOMATOES AND A MOZZARELLA,1
750,ADRIANO'S PIZZA AND PASTA,2
276,5 ELEMENTS ESPRESSO BAR,2
152,27TH AVE BAR N GRILL,2
865,AISH TANOOR,2
784,AFTON PUB & PIZZA,1
873,AJ'S,2
961,AL FERRI & SONS,2
806,AGOSTINO'S SUSHI ROCK,2
326,5STARS SHAWARMA & GRILL,1
213,360 BISTRO,1
367,70'S SHOP & HOOKAH LOUNGE,2
300,5100 BAR & GRILL,1
338,608 RESTAURANT AND BAR,1
917,AKAHANA ASIAN BISTRO - BELMONT,1
679,ACKEE TREE,1
831,AHWATUKEE AUTO SPA,1
631,ABREUVOIR BAR & TERRASSE,2
175,3 MARGARITAS,1
496,A MOUTHFUL CONCESSIONS & CATERING,2
122,21 DEGREES CIGAR LOUNGE,1
663,ACE BAKERY & BREAD STORE,2
852,AIR BAR,1
60,1602,2
236,4 ORIGINES,2
529,A TASTE OF SOUL,2
222,3940 COFFEE AND TEA,2
217,365 BY WHOLE FOODS MARKET,2
339,608 SPORTS BAR & RESTAURANT,2
416,86'D EATS,2
405,808 SHAVE ICE,1
746,ADRENALINE SPORTS BAR AND GRILL,1
752,ADVENTUROUS STILLS,2
735,ADISIL,1
605,ABC BAKERY COFFEE SHOP,1
988,AL'S CAFE,1
766,AFGHAN KEBAB & SHAWARMA,1
790,AGAVE BLUE FROZEN YOGURT,1
393,8 FORTUNE CUSINE,2
777,AFRICANA RESTAURANT AND LOUNGE,2
428,8WIRE LAN CENTER & INTERNET CAFE,2
31,101 BISTRO,2
286,5 R CHA THAI GO,1
250,417 RESTAURANT + LOUNGE,2
748,ADRIAN'S PIZZA,1
545,A! XIANG,1
107,2 CATS,1
177,3 MONKEYS EATERY,2
267,4TH STREET BAR & GRILL,1
265,4TH FLOOR GRILLE & SPORTS BAR,1
898,AJIMI SUSHI,2
477,A CUT ABOVE RESTAURANT,1
778,AFRODITI,1
7,'ROUND TABLE TOURS,2
882,AJ'S PIZZERIA & DINER,2
132,229,1
947,AKROPOLIS KAFE,1
614,ABC STORES 114,2
227,3Q,2
104,1ST WARD BEVERAGE,2
376,750 ML WINES,1
157,2ND ANNUAL ASIAN FOOD FESTIVAL,2
524,A TASTE OF JAPAN RESTAURANT,2
230,3RD PLACE NEIGHBORHOOD GRILL,1
653,ACADEMY OF LIONS,2
847,AIM HIGH FITNESS CAFE,2
536,A TOUCH OF ITALY,1
872,AJ FAMILY RESTAURANT,2
241,4 WOOD GRILLE,1
896,AJI SUSHI,1
957,AL DENTE,1
741,ADOBO EXPERIENCE,1
945,AKROPOLIS CAFE,1
858,AIRPORT BUKHARA,1
964,AL KABAB,2
868,AIX CUISINE DU TERROIR,1
648,ABYSSINIA RESTAURANT,2
512,A SLICE OF BELLA,2
244,40 WESTT,1
934,AKIRA HIBACHI & SUSHI,1
180,3 PALMS PIZZERRIA,2
721,ADDICTED COFFEE & ICE CREAM,2
319,583 BISTRO,2
466,A BAO TIME,1
983,AL TANOOR,1
144,244 PIZZA & WINGS,2
803,AGORA,2
44,12TH FAIRWAY BAR & GRILL,2
564,A-RI-RANG,1
126,21 SEVEN MARKET,2
594,ABARROTES EL PRIMO,2
684,ACME FRESH MARKET - HUDSON,2
343,650 CAFE BISTRO,2
285,5 R CHA THAI DINER,2
559,A-MART,2
713,ADAMS 7TH STREET MARKET,1
54,15° FAHRENHEIT ROLLED ICE CREAM,1
834,AHZIMAE ZIPBAP,2
910,AKA FUJI,1
674,ACES,2
366,70 DOWN,1
111,2 GIRLS' CAFE & BAKERY,2
907,AJS RESTAURANT,2
120,21 BUFFET,2
118,2030 BUBBLE TEA CAFE,1
134,24 HOUR SOUL FOOD EXPRESS,2
575,A8 CHINA,1
563,A-ONE CATERING,2
927,AKI DA JAPANESE SEAFOOD HOUSE,1
148,255 BY ALTA ROSSA,1
113,2 MEN AND A PIZZA,2
211,3535 BAR,1
638,ABSOLUTE BAKERY & CAFE,1
75,1800 DEGREES,1
539,A WAY OF LIFE HAIR & HEALTH CENTER,2
848,AIOLI BISTRO,1
537,A TOUCH OF YOGURT,1
986,AL'S BAR & GRILLE,1
689,ACQUOLINA RISTORANTE,1
881,AJ'S PERSIAN GRILL AND CAFE,2
981,AL RAYAN 3,2
693,ACROPOLIS GYRO HOUSE & GRILLE,1
694,ACROPOLIS OUZERIE,1
42,120 DINER,1
984,AL WILHELMY FLOWERS,2
14,1 FOR THE ROAD,2
485,A LA CREPES,1
349,6TH STREET GASTRO PUB & PIZZA,1
356,7 PLUS WATER & ALKALINE,2
371,702 WING SPOT,1
749,ADRIAN'S PIZZA AND SIX PACKS,2
23,100% KOREAN RESTAURANT,1
22,100 TOPS SUPERMARKET,2
409,8090 KTV,1
287,5 SAISONS SUSHI,1
297,5030 COCKTAIL LOUNGE,2
502,A PIZZA PLUS,1
56,16 A HANDCRAFTED EXPERIENCE,1
8,'TUREL,2
490,A LA SAJ,1
973,AL OMDA HOOKAH,1
516,A TASTE ABOVE,2
845,AIKAWA,1
497,A PANDA BUFFET,2
725,ADDISONS LOUNGE,2
727,ADDY'S RESTAURANT,1
608,ABC EURO DELICATESSEN,2
935,AKIRA SUSHI,2
659,ACCENT RESTAURANT,1
960,AL DENTE TRATTORIA,1
751,ADVANCED MUSCLE AND PERFORMANCE THERAPY,2
598,ABBEY ROAD PUB & PATIO,1
874,AJ'S BAR AND GRILL,1
646,ABYSSINIA,1
953,AL ARUBA,2
939,AKKO CAKE HOUSE,1
666,ACE COFFEE & DINER,1
719,ADAR KOSHER PIZZA,1
624,ABJURATION BREWING,2
899,AJISAI JAPANESE CUISINE,1
795,AGGIE'S ICE CREAM & GRILL,2
715,ADAMS NATURAL MEATS,2
709,ADAM'S RIBS,1
669,ACE OF SPUDS TRUCK,2
627,ABOKICHI,2
979,AL RAFEDIN,1
625,ABLE BAKER BREWING,2
687,ACOUSTIC MOOSE CAFE,2
830,AHUJA CAFETERIA,2
677,ACES GRILLE - MIDDLEBURG HEIGHTS,1
959,AL DENTE RESTAURANT & BANQUET HALL,2
999,AL'S MEAT MARKET,2
174,3 LAKES GOLF COURSE,2
251,420 BAKING COMPANIES,2
77,1812 GRILLHOUSE,1
573,A3 NAPOLI,1
438,911 TACO BAR,2
565,A-TOWN GRILL & EATERY,2
291,"5 VINES WINE, CRAFT BEER & SPIRITS",2
92,1903 A HARLEY-DAVIDSON CAFÉ,2
560,A-MART ASIAN GROCERY,1
365,70 CHINESE AND SUSHI,1
340,613 GRILL,1
283,5 R CHA THAI,1
106,2 BROS CUISINE,2
142,24/7 XPRESS,1
117,2010 FUSION RESTAURANT,2
262,4TH AVENUE GRILLE,2
346,68 KITCHEN,1
484,A LA CARTE AT THE GARDINER,2
449,99 PUB AND GRILL,1
135,24 HOUR TATTOO,1
421,888 NOODLE BAR,1
513,A SLICE OF CHICAGO AT THE INN ZONE,1
435,900 DEGREE PIZZA,2
186,3 TOMATOES & A MOZZARELLA,1
392,8 BELOW ICE CREAM,1
377,750ML WINES,1
499,A PHINER BISTRO,2
427,8TH DAY COFFEE & CULTURE,1
223,398 WEST,1
583,AAABAR SWIMMING POOLS,1
9,.99 CENT PIZZA PLACE,2
299,51 WINGS AND THINGS,1
313,56 EAST BAR AND KITCHEN,2
498,A PERFECT PIZZA,1
505,A PLUS VIP LOUNGE,1
491,A LA TURQUE,1
