,business_id,categories,name,review_count,stars,address,city,state,postal_code,latitude,longitude,Name,Address,City,State,Zip,rating
0,5ccc6zVHPggiA33df7V1NQ,"SUSHI BARS, JAPANESE, RESTAURANTS",BENTO SUSHI,4,3.0,150 KING STREET W,TORONTO,ON,M5H 1J9,43.648116,-79.3844795,BENTO SUSHI,,,,,1
1,cFvmSY2XBy10KGXF7l612A,"RESTAURANTS, SUSHI BARS, JAPANESE",BENTO SUSHI,6,3.0,4700 130 AVENUE SE,CALGARY,AB,T2Z 4E7,50.9342555,-113.9671697,BENTO SUSHI,,,,,1
2,_JMzP19EadnMXn_E5tRFjg,"SUSHI BARS, JAPANESE, RESTAURANTS",BENTO SUSHI,52,3.0,7700 HURONTARIO STREET,BRAMPTON,ON,L6Y 4M3,43.658735,-79.727002,BENTO SUSHI,,,,,1
3,OqP2SGjXgmKTpdRehjyCVw,"SUSHI BARS, RESTAURANTS",BENTO SUSHI,4,1.0,751 3 ST SW,CALGARY,AB,T2P 4K8,51.04611420000001,-114.0709375,BENTO SUSHI,,,,,1
4,qX3YZQZHXeiFbcIc1DZzgA,"SUSHI BARS, RESTAURANTS",BENTO SUSHI,13,2.0,"TERMINAL 1, LEVEL 2, TORONTO PEARSON INTERNATIONAL AIRPORT",MISSISSAUGA,ON,L4V 1W1,43.6825751199,-79.61596646550001,BENTO SUSHI,,,,,1
5,54pbmQvIJDYHkRHuIWCsqA,"NIGHTLIFE, BARS, BEER GARDENS",BLACKBIRD,3,4.5,119 W MAIN ST,URBANA,IL,61801,40.1124098765,-88.20780160790001,BLACKBIRD,619 W RANDOLPH,CHICAGO,IL,60661,2
6,BDTIaZHqgBbV1aqlh1l_Vg,"FOOD, BARS, PUBS, AMERICAN (TRADITIONAL), RESTAURANTS, BEER, WINE & SPIRITS, NIGHTLIFE, SPORTS BARS, CHICKEN WINGS",BUFFALO WILD WINGS,57,2.0,"2109 W ROSSEVELT BLVD, SUITE F",MONROE,NC,28110,35.004692633299996,-80.5571873386,BUFFALO WILD WINGS,,,,,1
7,o3SafLqbLT_zT2HyqHwvhg,"CHICKEN WINGS, BARS, AMERICAN (TRADITIONAL), SPORTS BARS, RESTAURANTS, NIGHTLIFE",BUFFALO WILD WINGS,32,2.0,9062 STATE ROUTE 14,STREETSBORO,OH,44241,41.237812,-81.336614,BUFFALO WILD WINGS,,,,,1
8,kRlzBlhoD9P__yElGJGTcg,"CHICKEN WINGS, SPORTS BARS, NIGHTLIFE, BARS, RESTAURANTS, AMERICAN (TRADITIONAL)",BUFFALO WILD WINGS,35,3.0,32914 WALKER ROAD,AVON LAKE,OH,44012,41.4936724,-82.022615,BUFFALO WILD WINGS,,,,,1
9,eBoRFMm14n6Bte5vJIaeSg,"RESTAURANTS, SPORTS BARS, CHICKEN WINGS, BARS, NIGHTLIFE, AMERICAN (TRADITIONAL)",BUFFALO WILD WINGS,56,2.0,12459 CEDAR RD,CLEVELAND,OH,44106,41.5013074891,-81.592227752,BUFFALO WILD WINGS,,,,,1
10,P3ufH0wm0jvulnrinDpaAA,"AMERICAN (TRADITIONAL), BARS, SPORTS BARS, NIGHTLIFE, RESTAURANTS, CHICKEN WINGS",BUFFALO WILD WINGS,278,2.5,"9404 W. WESTGATE BLVD, SUITE C107",GLENDALE,AZ,85305,33.534484,-112.2619851,BUFFALO WILD WINGS,,,,,1
11,4Bbogp0r1TYihNS5Ek9Cjg,"AMERICAN (TRADITIONAL), SPORTS BARS, RESTAURANTS, CHICKEN WINGS, NIGHTLIFE, BARS",BUFFALO WILD WINGS,28,3.0,9566 DIAMOND CENTRE DR.,MENTOR,OH,44060,41.714198,-81.295924,BUFFALO WILD WINGS,,,,,1
